[2026/06/28 10:00:22.895] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.895] DEBUG:      = Final Score: 146.24
[2026/06/28 10:00:22.905] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 10:00:22.911] DEBUG:    Face detected. Face area ratio: 0.03 (row:5, col:27)
[2026/06/28 10:00:22.914] DEBUG:    Score: (row:5, col:27):
[2026/06/28 10:00:22.914] DEBUG:      Luminance STD: 90.90 / Contrast: 42.92 / Sharpness: 8.47 / Edge Density: 0.17
[2026/06/28 10:00:22.914] DEBUG:      Entropy: 0.00 / Face Size: 0.98 / Color Balance: 0.00
[2026/06/28 10:00:22.914] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.914] DEBUG:      = Final Score: 143.43
[2026/06/28 10:00:22.931] DEBUG:    Face detected. Face area ratio: 0.03 (row:5, col:28)
[2026/06/28 10:00:22.934] DEBUG:    Score: (row:5, col:28):
[2026/06/28 10:00:22.934] DEBUG:      Luminance STD: 66.27 / Contrast: 37.81 / Sharpness: 32.40 / Edge Density: 19.29
[2026/06/28 10:00:22.934] DEBUG:      Entropy: 0.00 / Face Size: 0.95 / Color Balance: 0.00
[2026/06/28 10:00:22.934] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.934] DEBUG:      = Final Score: 156.71
[2026/06/28 10:00:22.950] DEBUG:    Face detected. Face area ratio: 0.03 (row:5, col:29)
[2026/06/28 10:00:22.952] DEBUG:    Score: (row:5, col:29):
[2026/06/28 10:00:22.952] DEBUG:      Luminance STD: 66.67 / Contrast: 37.90 / Sharpness: 32.33 / Edge Density: 19.24
[2026/06/28 10:00:22.952] DEBUG:      Entropy: 0.00 / Face Size: 0.92 / Color Balance: 0.00
[2026/06/28 10:00:22.952] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.952] DEBUG:      = Final Score: 157.05
[2026/06/28 10:00:22.970] DEBUG:    Face detected. Face area ratio: 0.03 (row:5, col:30)
[2026/06/28 10:00:22.973] DEBUG:    Score: (row:5, col:30):
[2026/06/28 10:00:22.973] DEBUG:      Luminance STD: 67.11 / Contrast: 37.97 / Sharpness: 31.13 / Edge Density: 18.46
[2026/06/28 10:00:22.973] DEBUG:      Entropy: 0.00 / Face Size: 1.01 / Color Balance: 0.00
[2026/06/28 10:00:22.973] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.973] DEBUG:      = Final Score: 155.67
[2026/06/28 10:00:22.989] DEBUG:    Face detected. Face area ratio: 0.03 (row:5, col:31)
[2026/06/28 10:00:22.992] DEBUG:    Score: (row:5, col:31):
[2026/06/28 10:00:22.992] DEBUG:      Luminance STD: 67.54 / Contrast: 38.06 / Sharpness: 29.51 / Edge Density: 18.59
[2026/06/28 10:00:22.992] DEBUG:      Entropy: 0.00 / Face Size: 1.01 / Color Balance: 0.00
[2026/06/28 10:00:22.992] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.992] DEBUG:      = Final Score: 154.71
[2026/06/28 10:00:23.009] DEBUG:    Score: (row:5, col:32):
[2026/06/28 10:00:23.009] DEBUG:      Luminance STD: 68.13 / Contrast: 38.31 / Sharpness: 27.73 / Edge Density: 18.47
